block,threshold,population,observations,share_of_opportunities,mean_sweep_p,realised_sweep_rate_500ms,p_next_move_follows_sweep,markout_500ms_observed,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_mean_bps,markout_500ms_frac_favourable
992833,0.5,score_at_or_above,317,0.008805555556,0.8112592825,0.7665615142,0.9523809524,317,24.97476341,18,0.3869356946,0.7728706625
992833,0.7,score_at_or_above,218,0.006055555556,0.9152739519,0.9128440367,0.9723502304,218,32.22018349,25,0.4991951299,0.9220183486
992833,0.9,score_at_or_above,148,0.004111111111,0.9632084517,0.9797297297,0.9864864865,148,38.69256757,29.5,0.5994286444,0.9864864865
992834,,all,36000,,0.04993191732,0.05547222222,0.5,36000,0,0,0,0.05263888889
992834,0.3,score_at_or_above,1071,0.02975,0.5580985221,0.5060690943,0.8954248366,1071,16.99066293,1,0.2635722627,0.5070028011
992834,0.5,score_at_or_above,464,0.01288888889,0.7944167756,0.7650862069,0.9525862069,464,27.86961207,22,0.4323375717,0.7801724138
992834,0.7,score_at_or_above,296,0.008222222222,0.918133095,0.9222972973,0.9864864865,296,36.47972973,30,0.5658972095,0.9527027027
992834,0.9,score_at_or_above,214,0.005944444444,0.9607223734,0.9579439252,0.9953271028,214,38.81308411,32.5,0.6020821872,0.9953271028
992835,,all,36000,,0.02798695043,0.02313888889,0.5,36000,0,0,0,0.02222222222
992835,0.3,score_at_or_above,384,0.01066666667,0.5979129393,0.4869791667,0.8406593407,384,17.80208333,0,0.2764044766,0.4947916667
992835,0.5,score_at_or_above,189,0.00525,0.8269571276,0.7301587302,0.8810810811,189,30.29100529,23,0.4703125342,0.746031746
992835,0.7,score_at_or_above,137,0.003805555556,0.9194436452,0.8321167883,0.9328358209,137,37.71532847,31,0.5855892447,0.8467153285
992835,0.9,score_at_or_above,99,0.00275,0.9636315503,0.9494949495,0.9797979798,99,45.1010101,36,0.7002602138,0.9696969697
992836,,all,36000,,0.03187879784,0.03555555556,0.5,36000,0,0,0,0.03441666667
992836,0.3,score_at_or_above,536,0.01488888889,0.6178709062,0.5242537313,0.8742857143,536,17.93097015,6,0.2786340542,0.5373134328
992836,0.5,score_at_or_above,288,0.008,0.8267269919,0.7604166667,0.9612676056,288,30.29513889,22.75,0.4707681626,0.7986111111
992836,0.7,score_at_or_above,208,0.005777777778,0.9221275191,0.8798076923,0.9806763285,208,36.72355769,28,0.5706656581,0.9326923077
992836,0.9,score_at_or_above,157,0.004361111111,0.9614943062,0.923566879,1,157,40.30254777,31,0.6262743964,0.9936305732
992837,,all,36000,,0.01863412286,0.01594444444,0.5,36000,0,0,0,0.01497222222
992837,0.3,score_at_or_above,191,0.005305555556,0.6220314014,0.6020942408,0.9239130435,191,18.29319372,11,0.2842451029,0.6073298429
992837,0.5,score_at_or_above,99,0.00275,0.8466417864,0.8080808081,0.9791666667,99,28.61111111,22,0.4445670971,0.8181818182
992837,0.7,score_at_or_above,76,0.002111111111,0.9262436714,0.8815789474,1,76,33.94078947,25.5,0.527383586,0.9078947368
992837,0.9,score_at_or_above,58,0.001611111111,0.9588420274,0.9310344828,1,58,37.11206897,28,0.5766791881,0.9827586207
992838,,all,36000,,0.02901756241,0.02933333333,0.5,36000,0,0,0,0.02805555556
992838,0.3,score_at_or_above,343,0.009527777778,0.6125090667,0.5685131195,0.9371257485,343,18.31778426,7,0.2847667042,0.5743440233
992838,0.5,score_at_or_above,176,0.004888888889,0.8444264308,0.8068181818,0.9595375723,176,27.67045455,19,0.4301314697,0.8352272727
992838,0.7,score_at_or_above,133,0.003694444444,0.9318699011,0.9323308271,0.984962406,133,32.70676692,23,0.5084197249,0.969924812
992838,0.9,score_at_or_above,108,0.003,0.9578185269,0.9444444444,0.9907407407,108,34.52314815,24,0.5366594806,0.9907407407
992839,,all,36000,,0.01986634564,0.02030555556,0.5,36000,0,0,0,0.01972222222
992839,0.3,score_at_or_above,191,0.005305555556,0.6956965372,0.7015706806,0.9572192513,191,25.30628272,19,0.3934520058,0.7068062827
992839,0.5,score_at_or_above,125,0.003472222222,0.8596369257,0.88,0.984,125,32.62,29,0.5071632896,0.896
992839,0.7,score_at_or_above,101,0.002805555556,0.9250078888,0.9504950495,1,101,35.70792079,30,0.5551743679,0.9702970297
992839,0.9,score_at_or_above,77,0.002138888889,0.9585058906,0.974025974,1,77,37.57792208,32,0.584249287,1
992840,,all,36000,,0.01826053215,0.01397222222,0.5,36000,0,0,0,0.01372222222
992840,0.3,score_at_or_above,218,0.006055555556,0.5950776978,0.5137614679,0.9567307692,218,17.42889908,2,0.2710308708,0.5321100917
992840,0.5,score_at_or_above,106,0.002944444444,0.8285887625,0.7830188679,1,106,28.93867925,24.5,0.4500250216,0.8113207547
992840,0.7,score_at_or_above,78,0.002166666667,0.9209197004,0.9102564103,1,78,34.73717949,29.5,0.5402130049,0.9615384615
992840,0.9,score_at_or_above,55,0.001527777778,0.9577149123,0.9454545455,1,55,35.94545455,33,0.5590332087,1
992841,,all,36000,,0.01520198135,0.01202777778,0.5,36000,0,0,0,0.01191666667
992841,0.3,score_at_or_above,169,0.004694444444,0.6245777478,0.5857988166,0.99375,169,18.80177515,7,0.2923631776,0.5976331361
992841,0.5,score_at_or_above,92,0.002555555556,0.8333974338,0.8369565217,0.9888888889,92,27.82065217,21.5,0.4325843011,0.8586956522
992841,0.7,score_at_or_above,65,0.001805555556,0.9389357655,0.9692307692,1,65,30.48461538,22,0.4740072529,0.9692307692
992841,0.9,score_at_or_above,53,0.001472222222,0.9634551696,1,1,53,34.01886792,28,0.5289628522,1
992842,,all,35948,,0.02222843538,0.02326228505,0.5,35938,0,0,0,0.02270577105
992842,0.3,score_at_or_above,237,0.006592856348,0.6494016921,0.6160337553,0.9288888889,237,18.17299578,12,0.2825003878,0.6244725738
992842,0.5,score_at_or_above,138,0.00383887838,0.8448350807,0.847826087,0.9473684211,138,27.41304348,24,0.4261348471,0.847826087
992842,0.7,score_at_or_above,103,0.002865249805,0.9332241712,0.9708737864,0.9805825243,103,33,26,0.5129806253,0.9708737864
992842,0.9,score_at_or_above,85,0.002364526538,0.9541800128,1,0.9882352941,85,33.41764706,26,0.5194715709,0.9764705882
992843,,all,36000,,0.01534820726,0.01452777778,0.5,36000,0,0,0,0.01344444444
992843,0.3,score_at_or_above,171,0.00475,0.6232724874,0.5730994152,0.9698795181,171,22.84502924,9,0.3554949016,0.5730994152
992843,0.5,score_at_or_above,88,0.002444444444,0.8538275496,0.8295454545,1,88,39.03977273,29.75,0.6075080097,0.8409090909
992843,0.7,score_at_or_above,71,0.001972222222,0.9206535873,0.9577464789,1,71,43.88028169,32,0.6828476227,0.9718309859
992843,0.9,score_at_or_above,54,0.0015,0.953434377,1,1,54,45.17592593,31.5,0.703006042,1
