problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,target,feature_set,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,lightgbm,7,249950,42852,2026-08-20T02:34:46.750Z,next_move_matches_sweep_direction,book_flow,42376,21188,0.5,0.731385069,0.7241360879,1.448272176,0.6073565692,0.2100707506,0.6674532754
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,naive,8,292326,42852,2026-08-20T08:31:54.433Z,next_move_matches_sweep_direction,book_flow,42840,21420,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,linear,8,292326,42852,2026-08-20T08:31:54.433Z,next_move_matches_sweep_direction,book_flow,42840,21420,0.5,0.7354282563,0.7278493021,1.455698604,0.6048593154,0.2088992241,0.6693277311
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,lightgbm,8,292326,42852,2026-08-20T08:31:54.433Z,next_move_matches_sweep_direction,book_flow,42840,21420,0.5,0.7419310447,0.7387269415,1.477453883,0.5956842443,0.205686955,0.6741363212
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,naive,9,335166,42854,2026-08-20T14:29:02.116Z,next_move_matches_sweep_direction,book_flow,42836,21418,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,linear,9,335166,42854,2026-08-20T14:29:02.116Z,next_move_matches_sweep_direction,book_flow,42836,21418,0.5,0.7238818966,0.7179622681,1.435924536,0.6118268221,0.2122758023,0.6604724998
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,lightgbm,9,335166,42854,2026-08-20T14:29:02.116Z,next_move_matches_sweep_direction,book_flow,42836,21418,0.5,0.7285740098,0.7271583301,1.45431666,0.6040948179,0.2097434809,0.6611728453
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,naive,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,book_flow_plus_sweep,34520,17260,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,linear,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,book_flow_plus_sweep,34520,17260,0.5,0.7401490899,0.7346430929,1.469286186,0.5998040623,0.2068481473,0.6744785632
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,lightgbm,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,book_flow_plus_sweep,34520,17260,0.5,0.7218002226,0.7077069241,1.415413848,0.6311713854,0.2173170178,0.6642815759
