alpha_pct,beta_pct,side,horizon_ms,observed_fills,p_trade_through_given_fill,p_at_quote_given_fill,mean_markout_trade_through_ticks,mean_markout_at_quote_ticks,mean_markout_total_ticks,reconstructed_mean_ticks,reconstruction_error_ticks,required_benefit_ticks
100,25,0,5000,161541,0.7541491015,0.2458508985,-64.6831916,-48.7957195,-60.77724231,-60.77724231,7.105427358e-15,60.77724231
100,25,1,100,158856,0.746651055,0.253348945,-35.67419273,-25.98812304,-33.2202372,-33.2202372,0,33.2202372
100,25,1,500,158854,0.7466478653,0.2533521347,-55.76672316,-39.46202107,-51.63589208,-51.63589208,0,51.63589208
100,25,1,1000,158852,0.7466509707,0.2533490293,-60.24743902,-42.49655858,-55.75027069,-55.75027069,-7.105427358e-15,55.75027069
100,25,1,5000,158821,0.7466518911,0.2533481089,-72.73437395,-49.7819917,-66.91943131,-66.91943131,1.421085472e-14,66.91943131
100,50,0,100,162556,0.7167868304,0.2832131696,-34.00361747,-25.02575047,-31.4609673,-31.4609673,0,31.4609673
100,50,0,500,162555,0.7167912399,0.2832087601,-51.91118111,-37.54808089,-47.8434253,-47.8434253,0,47.8434253
100,50,0,1000,162543,0.7167703315,0.2832296685,-56.02876676,-41.33616439,-51.86738586,-51.86738586,0,51.86738586
100,50,0,5000,162541,0.7167668465,0.2832331535,-64.40397325,-48.40180724,-59.87162931,-59.87162931,7.105427358e-15,59.87162931
100,50,1,100,159901,0.7077003896,0.2922996104,-35.52154875,-25.54419222,-32.60517132,-32.60517132,0,32.60517132
100,50,1,500,159899,0.7076967336,0.2923032664,-55.61937522,-39.00789491,-50.76378526,-50.76378526,-7.105427358e-15,50.76378526
100,50,1,1000,159897,0.7076993314,0.2923006686,-60.12184183,-42.06035774,-54.84245796,-54.84245796,0,54.84245796
100,50,1,5000,159866,0.7076926926,0.2923073074,-72.52010412,-49.91430559,-65.91226402,-65.91226402,0,65.91226402
100,75,0,100,164112,0.6531332261,0.3468667739,-33.65451034,-24.69717172,-30.54750719,-30.54750719,0,30.54750719
100,75,0,500,164111,0.6531372059,0.3468627941,-51.56124343,-37.11123603,-46.54907349,-46.54907349,7.105427358e-15,46.54907349
100,75,0,1000,164099,0.653111841,0.346888159,-55.67682762,-40.85014229,-50.53362604,-50.53362604,7.105427358e-15,50.53362604
100,75,0,5000,164095,0.6531155733,0.3468844267,-63.90742538,-48.56984997,-58.58705933,-58.58705933,0,58.58705933
100,75,1,100,161491,0.6449771195,0.3550228805,-35.29478773,-25.0017878,-31.64053724,-31.64053724,0,31.64053724
100,75,1,500,161489,0.6449727226,0.3550272774,-55.46152406,-38.38857203,-49.40016038,-49.40016038,0,49.40016038
100,75,1,1000,161487,0.6449745181,0.3550254819,-59.95513898,-41.52947743,-53.41355961,-53.41355961,7.105427358e-15,53.41355961
100,75,1,5000,161456,0.6449620949,0.3550379051,-72.28104924,-49.54634265,-64.20936664,-64.20936664,0,64.20936664
100,100,0,100,168230,0.39324734,0.60675266,-32.96939809,-24.55576347,-27.8644029,-27.8644029,0,27.8644029
100,100,0,500,168224,0.3932613658,0.6067386342,-51.38278463,-37.71378395,-43.08927383,-43.08927383,7.105427358e-15,43.08927383
100,100,0,1000,168212,0.3932537512,0.6067462488,-55.24681028,-41.53502773,-46.92723765,-46.92723765,0,46.92723765
100,100,0,5000,168210,0.393258427,0.606741573,-62.84987906,-49.25937684,-54.60395636,-54.60395636,0,54.60395636
100,100,1,100,165416,0.3852952556,0.6147047444,-34.26182258,-25.94719321,-29.15078046,-29.15078046,3.552713679e-15,29.15078046
100,100,1,500,165414,0.3852878233,0.6147121767,-54.87928356,-40.66245255,-46.14002442,-46.14002442,-7.105427358e-15,46.14002442
100,100,1,1000,165412,0.3852864363,0.6147135637,-59.51998243,-44.05693296,-50.01463618,-50.01463618,0,50.01463618
100,100,1,5000,165381,0.3852981902,0.6147018098,-72.03390562,-53.67312611,-60.74750122,-60.74750122,0,60.74750122
