queue_cell,threshold,latency_ms,utc_day,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
conservative,0.8,100,2026-08-20,147124,118727,33445,0.2273252494,267,118460,75,16802,4519.5,12282.5,0.08348399989,3.717667884,0.3889235265,0.7332128423,0.9920098157,152,0.8347421005,123,0.9260672978,61,0.930240925
conservative,0.9,0,2026-08-18,108614,50678,11318,0.104203878,12,50666,0,1258,0,1258,0.01158230062,,,2.307715786,0.998939742,9,1.186060663,9,2.235925643,8,6.442664633
conservative,0.9,0,2026-08-19,172796,107550,28814,0.1667515452,46,107504,10,7314.5,7322.5,-8,-4.629736799e-05,0.998907477,0.1057192208,-0.003108184086,0.9984035538,34,1.125427956,30,1.521140386,17,1.928704344
conservative,0.9,0,2026-08-20,147124,118727,31524,0.2142682363,57,118670,7,5021,624.5,4396.5,0.02988295587,8.040032026,0.8411073033,1.229381783,0.9981917965,37,0.9518025405,31,1.093290404,24,1.714404328
conservative,0.9,25,2026-08-18,108614,50678,11318,0.104203878,12,50666,0,1258,0,1258,0.01158230062,,,2.307715786,0.998939742,9,1.186060663,9,2.235925643,8,6.442664633
conservative,0.9,25,2026-08-19,172796,107550,28814,0.1667515452,34,107516,8,6261,7179.5,-918.5,-0.005315516563,0.8720662999,0.09229500413,-0.4828084037,0.998820018,24,1.074803169,21,1.440609425,14,2.14893702
conservative,0.9,25,2026-08-20,147124,118727,31524,0.2142682363,41,118686,3,3642,386.5,3255.5,0.02212759305,9.423027167,0.9857892287,1.265576478,0.9986993624,26,0.9298426929,21,1.02963699,15,1.489650102
conservative,0.9,50,2026-08-18,108614,50678,11318,0.104203878,11,50667,0,1195.5,0,1195.5,0.01100686836,,,2.392433203,0.9990280968,8,1.150119431,8,2.16817032,8,7.028361417
conservative,0.9,50,2026-08-19,172796,107550,28814,0.1667515452,22,107528,8,4971,7179.5,-2208.5,-0.01278096715,0.6923880493,0.07327878382,-1.794110963,0.9992364823,12,0.8305297217,9,0.9541698786,8,1.897762564
conservative,0.9,50,2026-08-20,147124,118727,31524,0.2142682363,34,118693,2,3109,205,2904,0.01973845192,15.16585366,1.58657456,1.361357683,0.9989214225,22,0.9487761413,18,1.064246636,12,1.437074216
conservative,0.9,100,2026-08-18,108614,50678,11318,0.104203878,11,50667,0,1195.5,0,1195.5,0.01100686836,,,2.392433203,0.9990280968,8,1.150119431,8,2.16817032,8,7.028361417
conservative,0.9,100,2026-08-19,172796,107550,28814,0.1667515452,18,107532,8,4654,7179.5,-2525.5,-0.01461550036,0.6482345567,0.06860580566,-2.507549096,0.9993753037,10,0.8459099017,7,0.9070503784,6,1.739615683
conservative,0.9,100,2026-08-20,147124,118727,31524,0.2142682363,18,118709,2,1690,205,1485,0.01009352655,8.243902439,0.8624351902,1.314947762,0.9994289884,12,0.9775269335,8,0.8934416206,6,1.357236759
midpoint,0.1,0,2026-08-18,108614,61661,50806,0.4677665863,33965,27696,14458,933898.5,34580.5,899318,8.279945495,27.00650656,0.8904790432,0.8595911135,0.2322732307,13485,0.9110241816,6696,0.8437051304,1779,0.7218698664
