signal,horizon_s,grouping,key,rows,raw_spread_ticks,demeaned_spread_ticks,demeaned_incremental_spread_ticks
direction_p2_logistic,300,utc_day,2026-08-20,711626,106.2266339399108,79.50514713521207,-2.234750120040192
direction_p2_logistic,300,segment_key,2:1,723281,77.75069952599807,22.74333911523619,-19.90888647530097
direction_p2_logistic,300,segment_key,2:2,712566,153.75959901192388,85.44901229330101,3.339007084546079
direction_p2_logistic,300,segment_key,2:4,163773,69.04394649867555,52.30398554661416,-18.819480805257164
direction_p2_logistic,300,segment_key,2:5,155378,409.21492027150316,247.27223462862202,157.406300859306
direction_p2_logistic,300,segment_key,2:6,335472,48.02545104285139,72.20444108508556,-14.83136141809942
direction_p2_logistic,600,utc_day,2026-08-18,523270,137.64430203651642,33.45384911050934,-8.438624605762596
direction_p2_logistic,600,utc_day,2026-08-19,831574,159.04816664059962,46.32213283852424,-28.831828913172647
direction_p2_logistic,600,utc_day,2026-08-20,690626,45.314287125226144,14.64109913267826,-67.0670968047386
direction_p2_logistic,600,segment_key,2:1,708281,113.31789704790626,15.268650383335535,-27.28256891310002
direction_p2_logistic,600,segment_key,2:2,700566,143.06770110578475,27.615659589837954,-54.18883915761035
direction_p2_logistic,600,segment_key,2:4,157773,-62.147432634176226,-58.277337916294385,-129.28659945142144
