signal,horizon_s,leg,rows,raw_mean_ticks,raw_mean_bps,demeaned_mean_ticks,demeaned_mean_bps,frac_favourable_for_leg
obi_l10,5,down_leg_bottom_decile,213585,-31.104269962778286,-0.45287229688118763,-33.02111840183287,-0.48065813395623996,0.5497296158438093
obi_l10,5,up_leg_positive_signal,1052496,17.614619913044802,0.2576295023559089,15.382186377917872,0.2248941110366755,0.38513210501512596
obi_l10,5,down_leg_negative_signal,1083288,-13.101211773784994,-0.19117710492681053,-14.94514605064108,-0.2180397462651163,0.37303561010553055
obi_l10,10,up_leg_top_decile,213504,45.02375131145084,0.6610030372290548,40.0350608312972,0.5879005034701423,0.5922324640287769
obi_l10,10,down_leg_bottom_decile,213505,-32.69887590454556,-0.47760008701718115,-36.518767679453866,-0.5329532475998981,0.5736118592070444
obi_l10,10,up_leg_positive_signal,1052051,22.59786265114524,0.33189053003040214,18.14480961434655,0.2665957604977574,0.443735142117635
obi_l10,10,down_leg_negative_signal,1082933,-13.954793140480529,-0.2045035751052217,-17.628136898525874,-0.25801286815057467,0.4291724418777524
obi_l10,30,up_leg_top_decile,213184,63.815293361603125,0.9397377212478841,48.3927137370964,0.7140689531071372,0.5995290453317322
obi_l10,30,down_leg_bottom_decile,213185,-33.1413045007857,-0.4872613209447204,-45.00175190498927,-0.6589396185399629,0.5837840373384618
obi_l10,30,up_leg_positive_signal,1050470,35.58072529439203,0.5249539066557446,21.93232129413864,0.3249752371246721,0.5048702009576665
obi_l10,30,down_leg_negative_signal,1081314,-9.965806417007455,-0.14713691930526637,-21.310058089449075,-0.31229181905688,0.4906160467727228
obi_l10,60,up_leg_top_decile,212704,71.22391915525802,1.0529074852347573,41.239152768557865,0.6142823145665691,0.5748081841432225
obi_l10,60,down_leg_bottom_decile,212705,-24.717775792764627,-0.3628953353007938,-47.619545284384856,-0.6943625238416965,0.562248184104746
obi_l10,60,up_leg_positive_signal,1047616,46.80451568131834,0.6921519525363207,20.09055994326612,0.3007730642039492,0.5192685105993036
obi_l10,60,down_leg_negative_signal,1079368,2.781188158255572,0.03924086811875102,-19.501928544471447,-0.2852092899073081,0.5095491065141824
obi_l10,120,up_leg_top_decile,211747,93.50357265982517,1.38650831231995,35.32834860922338,0.5351762986282149,0.5592523152630262
obi_l10,120,down_leg_bottom_decile,211747,-0.36639716265165506,-0.009808322068648682,-45.43693668034478,-0.6625281637208181,0.5274077082556069
obi_l10,120,up_leg_positive_signal,1043011,70.78684596806745,1.0464179058714356,18.3497464511849,0.27801447372561783,0.5206100415048355
obi_l10,120,down_leg_negative_signal,1074396,26.478242193753513,0.38791925561934887,-17.811975371472478,-0.2574128974315229,0.5128704872318959
obi_l10,300,up_leg_top_decile,209047,162.43055628638535,2.4043751082412985,28.244081747247275,0.4335431385724453,0.5371280142743019
obi_l10,300,down_leg_bottom_decile,209047,70.4000583600817,1.032105718381953,-37.231521126229794,-0.5340631413513158,0.5118083493185743
obi_l10,300,up_leg_positive_signal,1029882,138.30493930372606,2.0437042816520794,11.93990769799337,0.1870560504276989,0.5181341163356579
obi_l10,300,down_leg_negative_signal,1060526,97.78574216945177,1.4422986009626693,-11.593786744578464,-0.15738920036893622,0.5052615400282501
obi_l10,600,up_leg_top_decile,204547,248.56484328785072,3.6846694293068554,16.245101013356972,0.26102942801237283,0.5179591976416178
obi_l10,600,down_leg_bottom_decile,204547,172.85431465628926,2.534233708681878,-19.575814507569405,-0.2785094464387727,0.5093939290236473
obi_l10,600,up_leg_positive_signal,1009386,229.89933583386335,3.404191856037225,4.567841659063728,0.08365380985632717,0.5131832619037712
obi_l10,600,down_leg_negative_signal,1036023,192.5739076256029,2.843174438612948,-4.444854943368506,-0.048402443680294366,0.5010226606938263
direction_p2_logistic,1,up_leg_top_decile,213648,20.62754156369355,0.30024889838183944,20.04286406719274,0.2916371467389539,0.401983636635962
direction_p2_logistic,1,down_leg_bottom_decile,213649,-19.425066347139467,-0.28102829267731266,-19.813798486707604,-0.28666999148695826,0.40918983940949877
direction_p2_logistic,1,up_leg_positive_signal,1017044,8.912406936179753,0.12905899664059006,8.445569332973749,0.12220961897841255,0.21462001643980005
direction_p2_logistic,1,down_leg_negative_signal,1119444,-7.32178965629366,-0.10583837104889997,-7.673019478138211,-0.11095008862851444,0.20501427494363272
direction_p2_logistic,2,up_leg_top_decile,213632,27.36516299056321,0.3998338343535427,26.194401289209896,0.38258939201383985,0.4837524340922708
direction_p2_logistic,2,down_leg_bottom_decile,213633,-25.085768584441542,-0.36405949625587075,-25.866120068746085,-0.3753839965491146,0.4855570066422322
direction_p2_logistic,2,up_leg_positive_signal,1016972,12.52209549525454,0.18204185524542965,11.587274569323029,0.16832630610624014,0.29116730844113703
direction_p2_logistic,2,down_leg_negative_signal,1119356,-9.82330554354468,-0.14251278674306705,-10.527422726383369,-0.15276000779209675,0.2770253610111528
direction_p2_logistic,5,up_leg_top_decile,213584,37.901017866506855,0.557024670150612,34.971276120040315,0.5138696870537697,0.5656509850925163
direction_p2_logistic,5,down_leg_bottom_decile,213585,-31.847351171664677,-0.46433332805465044,-33.80949175643786,-0.49280781423694264,0.5583631809349907
direction_p2_logistic,5,up_leg_positive_signal,1016711,18.655438467765176,0.2728253512253444,16.31965550232526,0.23855148579625374,0.39210454101509673
direction_p2_logistic,5,down_leg_negative_signal,1119137,-13.063540924837621,-0.1906156556931826,-14.826042982605898,-0.2162689210668281,0.37038450162938047
direction_p2_logistic,10,up_leg_top_decile,213504,46.5523409397482,0.686876360118721,40.71432888584375,0.6008909489648213,0.597314336031175
direction_p2_logistic,10,down_leg_bottom_decile,213505,-34.11081707688344,-0.49878285591895866,-38.025081611310114,-0.5555662106082441,0.5807264466874312
direction_p2_logistic,10,up_leg_positive_signal,1016292,23.900699306892115,0.35106934533501255,19.244021573196047,0.2827430032009204,0.4499966545048077
direction_p2_logistic,10,down_leg_negative_signal,1118756,-13.968146316086797,-0.20475497901269024,-17.481510868023552,-0.2558881006568538,0.4263360375273965
direction_p2_logistic,30,up_leg_top_decile,213184,65.98380272440708,0.9769229024851839,48.093488969856864,0.7137457381611186,0.6027187781447013
direction_p2_logistic,30,down_leg_bottom_decile,213185,-33.7130473532378,-0.4956220881531464,-45.905965693558116,-0.6722836581523177,0.5856603419565166
direction_p2_logistic,30,up_leg_positive_signal,1014743,37.38289399384869,0.551845427285779,23.13108652310552,0.3428796109889103,0.5081621651984788
