signal,horizon_s,gross_decile_spread_bps,gross_edge_per_trade_bps,break_even_all_in_cost_bps,hurdle_bps_one_way,hurdle_bps_round_trip,net_of_one_way_bps,net_of_round_trip_bps,clears_one_way,clears_round_trip
obi_l5,60,1.280625255358595,0.6403126276792975,0.6403126276792975,2.0,4.0,-1.3596873723207024,-3.3596873723207024,False,False
obi_l5,60,1.280625255358595,0.6403126276792975,0.6403126276792975,3.0,6.0,-2.3596873723207024,-5.359687372320702,False,False
obi_l5,60,1.280625255358595,0.6403126276792975,0.6403126276792975,5.0,10.0,-4.359687372320702,-9.359687372320703,False,False
obi_l5,60,1.280625255358595,0.6403126276792975,0.6403126276792975,7.5,15.0,-6.859687372320702,-14.359687372320703,False,False
obi_l5,60,1.280625255358595,0.6403126276792975,0.6403126276792975,10.0,20.0,-9.359687372320703,-19.359687372320703,False,False
obi_l5,120,1.1919623738998573,0.5959811869499286,0.5959811869499286,1.0,2.0,-0.40401881305007137,-1.4040188130500715,False,False
obi_l5,120,1.1919623738998573,0.5959811869499286,0.5959811869499286,2.0,4.0,-1.4040188130500715,-3.4040188130500715,False,False
obi_l5,120,1.1919623738998573,0.5959811869499286,0.5959811869499286,3.0,6.0,-2.4040188130500715,-5.4040188130500715,False,False
obi_l5,120,1.1919623738998573,0.5959811869499286,0.5959811869499286,5.0,10.0,-4.4040188130500715,-9.40401881305007,False,False
obi_l5,120,1.1919623738998573,0.5959811869499286,0.5959811869499286,7.5,15.0,-6.9040188130500715,-14.40401881305007,False,False
obi_l5,120,1.1919623738998573,0.5959811869499286,0.5959811869499286,10.0,20.0,-9.40401881305007,-19.404018813050072,False,False
obi_l5,120,1.122039349300354,0.561019674650177,0.561019674650177,1.0,2.0,-0.438980325349823,-1.438980325349823,False,False
obi_l5,120,1.122039349300354,0.561019674650177,0.561019674650177,2.0,4.0,-1.438980325349823,-3.438980325349823,False,False
obi_l5,120,1.122039349300354,0.561019674650177,0.561019674650177,3.0,6.0,-2.438980325349823,-5.438980325349823,False,False
obi_l5,120,1.122039349300354,0.561019674650177,0.561019674650177,5.0,10.0,-4.438980325349823,-9.438980325349823,False,False
obi_l5,120,1.122039349300354,0.561019674650177,0.561019674650177,7.5,15.0,-6.938980325349823,-14.438980325349823,False,False
obi_l5,120,1.122039349300354,0.561019674650177,0.561019674650177,10.0,20.0,-9.438980325349823,-19.438980325349824,False,False
obi_l5,300,1.1234956815237105,0.5617478407618552,0.5617478407618552,1.0,2.0,-0.43825215923814476,-1.4382521592381448,False,False
obi_l5,300,1.1234956815237105,0.5617478407618552,0.5617478407618552,2.0,4.0,-1.4382521592381448,-3.4382521592381448,False,False
obi_l5,300,1.1234956815237105,0.5617478407618552,0.5617478407618552,3.0,6.0,-2.4382521592381448,-5.438252159238145,False,False
obi_l5,300,1.1234956815237105,0.5617478407618552,0.5617478407618552,5.0,10.0,-4.438252159238145,-9.438252159238145,False,False
obi_l5,300,1.1234956815237105,0.5617478407618552,0.5617478407618552,7.5,15.0,-6.938252159238145,-14.438252159238145,False,False
obi_l5,300,1.1234956815237105,0.5617478407618552,0.5617478407618552,10.0,20.0,-9.438252159238145,-19.438252159238147,False,False
obi_l5,300,0.9449355668019155,0.47246778340095774,0.47246778340095774,1.0,2.0,-0.5275322165990423,-1.5275322165990421,False,False
obi_l5,300,0.9449355668019155,0.47246778340095774,0.47246778340095774,2.0,4.0,-1.5275322165990421,-3.527532216599042,False,False
obi_l5,300,0.9449355668019155,0.47246778340095774,0.47246778340095774,3.0,6.0,-2.527532216599042,-5.527532216599043,False,False
obi_l5,300,0.9449355668019155,0.47246778340095774,0.47246778340095774,5.0,10.0,-4.527532216599043,-9.527532216599042,False,False
obi_l5,300,0.9449355668019155,0.47246778340095774,0.47246778340095774,7.5,15.0,-7.027532216599043,-14.527532216599042,False,False
obi_l5,300,0.9449355668019155,0.47246778340095774,0.47246778340095774,10.0,20.0,-9.527532216599042,-19.52753221659904,False,False
obi_l5,600,0.6687615370977464,0.3343807685488732,0.3343807685488732,1.0,2.0,-0.6656192314511268,-1.6656192314511267,False,False
