executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,view,model,side,horizon_ms,tail,eligible_oof_observations
6912,0.011404527565867184,3.0,-5.988595472434133,0.0,-9665.61041358665,-41393.171905464726,,,0,4,predictive_all_eligible,obi_only,long,250,0.02,345578
6912,0.011404527565867184,3.0,-5.988595472434133,0.0,-9665.61041358665,-41393.171905464726,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.02,345578
6912,0.011404527565867184,5.0,-9.988595472434133,0.0,-16121.6219829625,-69041.17190546473,,,0,4,predictive_all_eligible,obi_only,long,250,0.02,345578
6912,0.011404527565867184,5.0,-9.988595472434133,0.0,-16121.6219829625,-69041.17190546473,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.02,345578
3456,0.013135769269562614,1.0,-1.9868642307304374,0.0,-2063.8021460618806,-6866.602781404392,,,0,4,predictive_all_eligible,obi_only,long,250,0.01,345578
3456,0.013135769269562614,1.0,-1.9868642307304374,0.0,-2063.8021460618806,-6866.602781404392,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.01,345578
3456,0.013135769269562392,2.0,-3.9868642307304376,0.0,-4141.248721566598,-13778.602781404392,,,0,4,predictive_all_eligible,obi_only,long,250,0.01,345578
3456,0.013135769269562392,2.0,-3.9868642307304376,0.0,-4141.248721566598,-13778.602781404392,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.01,345578
3456,0.013135769269562836,3.0,-5.986864230730437,0.0,-6218.695297071315,-20690.602781404392,,,0,4,predictive_all_eligible,obi_only,long,250,0.01,345578
3456,0.013135769269562836,3.0,-5.986864230730437,0.0,-6218.695297071315,-20690.602781404392,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.01,345578
3456,0.013135769269561948,5.0,-9.986864230730438,0.0,-10373.588448080749,-34514.60278140439,,,0,4,predictive_all_eligible,obi_only,long,250,0.01,345578
3456,0.013135769269561948,5.0,-9.986864230730438,0.0,-10373.588448080749,-34514.60278140439,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.01,345578
34559,0.024724100620875378,1.0,-1.9752758993791246,0.00017361613472612056,-3338.1722766370444,-68263.55980664317,,,0,4,predictive_all_eligible,obi_only,long,1000,0.1,345569
25206,0.025566305219371532,1.0,-1.9744336947806285,0.0001983654685392367,-2664.2766884406774,-49767.57571064052,,,0,3,non_overlapping_trade_tape,obi_only,long,1000,0.1,345569
34559,0.024724100620875156,2.0,-3.975275899379125,2.8936022454353425e-05,-6718.12773266859,-137381.55980664317,,,0,4,predictive_all_eligible,obi_only,long,1000,0.1,345569
