problem,feature,mean_coefficient,median_coefficient,folds_positive,folds
catastrophic_25_optimistic,signed_obi_l10,-0.004298052471,-0.01984955976,0.4,10
catastrophic_25_optimistic,signed_obi_l5,-0.05998588577,-0.02975691576,0,10
catastrophic_25_optimistic,signed_trade_imbalance_1000ms,0.1087346882,0.1047963649,1,10
catastrophic_25_optimistic,signed_trade_imbalance_100ms,0.02479629563,0.0229285704,0.9,10
catastrophic_25_optimistic,signed_trade_imbalance_250ms,0.003366348869,0.004525181605,0.6,10
catastrophic_25_optimistic,signed_trade_imbalance_5000ms,0.1389395565,0.1442898661,1,10
catastrophic_25_optimistic,signed_trade_imbalance_500ms,0.05414101407,0.05331637524,1,10
catastrophic_25_optimistic,signed_weighted_obi_l10,0.04678003481,0.03491222672,0.8,10
catastrophic_25_optimistic,signed_weighted_obi_l5,-0.02088858681,-0.02160608117,0.2,10
catastrophic_25_optimistic,spread_ticks,-0.001889231661,0,0,10
catastrophic_25_optimistic,time_since_bbo_change_ms,-0.04432743359,-0.04521255568,0,10
catastrophic_25_optimistic,time_since_depth_ms,0.02730333242,0.03319626674,0.8,10
catastrophic_25_optimistic,time_since_mid_change_ms,-0.04433001112,-0.04521742277,0,10
catastrophic_25_optimistic,time_since_trade_ms,0.006592070591,0.01318771672,0.7,10
catastrophic_25_optimistic,trade_count_1000ms,-0.001233748859,-0.00332185498,0.4,10
catastrophic_25_optimistic,trade_count_100ms,0.07553300932,0.07203129679,1,10
catastrophic_25_optimistic,trade_count_250ms,0.03590505111,0.05083751865,0.8,10
catastrophic_25_optimistic,trade_count_5000ms,0.04649249762,0.05421261117,0.8,10
catastrophic_25_optimistic,trade_count_500ms,0.01326339492,0.0112083219,0.8,10
catastrophic_25_optimistic,unexplained_removal_share,0.01028014087,0.01216795528,1,10
catastrophic_50_conservative,addition_ratio,-0.1887859755,-0.03206350934,0.2,10
catastrophic_50_conservative,backward_mid_abs_change_ticks_1000ms,0.006174064614,0.01023948705,0.6,10
catastrophic_50_conservative,backward_mid_abs_change_ticks_100ms,-0.006146265566,-0.01114486391,0.4,10
catastrophic_50_conservative,backward_mid_abs_change_ticks_250ms,-0.02191150796,-0.02126305271,0,10
catastrophic_50_conservative,backward_mid_abs_change_ticks_5000ms,0.06274765832,0.05763597414,0.9,10
catastrophic_50_conservative,backward_mid_abs_change_ticks_500ms,0.01029355139,0.006558982888,0.8,10
catastrophic_50_conservative,bbo_change_count_1000ms,-0.0007874727948,0.005469555152,0.6,10
catastrophic_50_conservative,bbo_change_count_100ms,-0.02329191319,0.001422914414,0.5,10
catastrophic_50_conservative,bbo_change_count_250ms,0.001358176646,0.008511372231,0.5,10
catastrophic_50_conservative,bbo_change_count_5000ms,0.05019328962,0.02198204771,0.8,10
catastrophic_50_conservative,bbo_change_count_500ms,-0.01933455304,-0.02203415427,0,10
catastrophic_50_conservative,consumption_ratio,-0.03739223126,-0.03802480921,0,10
catastrophic_50_conservative,depth_event_count_1000ms,0.01140202582,0.01245209109,1,10
catastrophic_50_conservative,depth_event_count_100ms,0.00631135616,0.007374439854,0.9,10
catastrophic_50_conservative,depth_event_count_250ms,0.001092333178,0.001919671398,0.6,10
catastrophic_50_conservative,depth_event_count_5000ms,-0.009114329412,-0.008861695416,0.1,10
catastrophic_50_conservative,depth_event_count_500ms,-0.01267297771,-0.01363317436,0,10
catastrophic_50_conservative,drawdown_from_max,0.04920772891,0.0495703388,1,10
